graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
USAroad-NY,264346,1,365050,0,Dijkstra,1.1778514580219053,29790.431640625,0,dataset=USAroad-NY
USAroad-NY,264346,1,365050,0,BMSSP,51.43417133297771,352943.8125,0,dataset=USAroad-NY
USAroad-NY,264346,2,365050,0,Dijkstra,2.189794833015185,29777.23046875,0,dataset=USAroad-NY
USAroad-NY,264346,2,365050,0,BMSSP,104.58052687597228,352353.3515625,0,dataset=USAroad-NY
USAroad-NY,264346,4,365050,0,Dijkstra,4.185042542987503,29777.23046875,0,dataset=USAroad-NY
USAroad-NY,264346,4,365050,0,BMSSP,209.78211141598877,353148.5546875,0,dataset=USAroad-NY
USAroad-NY,264346,8,365050,0,Dijkstra,8.023248456942383,29777.23046875,0,dataset=USAroad-NY
USAroad-NY,264346,8,365050,0,BMSSP,418.275453790091,353307.7421875,0,dataset=USAroad-NY
USAroad-NY,264346,16,365050,0,Dijkstra,16.071820540120825,29777.23046875,0,dataset=USAroad-NY
USAroad-NY,264346,16,365050,0,BMSSP,832.194629084086,353570.3515625,0,dataset=USAroad-NY
