graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,10,1,9,0,Dijkstra,0.0007425419753417373,46.908203125,0,
tree,10,1,9,0,BMSSP,0.0012229580315761268,28.0,0,
tree,100,1,99,0,Dijkstra,0.0002114590024575591,12.921875,0,
tree,100,1,99,0,BMSSP,0.010701666004024446,133.498046875,0,
tree,1000,1,999,0,Dijkstra,0.002681666985154152,100.17578125,0,
tree,1000,1,999,0,BMSSP,0.08515075000468642,728.033203125,0,
tree,10000,1,9999,0,Dijkstra,0.029580125003121793,877.69140625,0,
tree,10000,1,9999,0,BMSSP,0.7153706250246614,6315.06640625,0,
tree,100000,1,99999,0,Dijkstra,0.32242733298335224,15543.68359375,0,
tree,100000,1,99999,0,BMSSP,5.9282202500035055,60744.76171875,0,
ER,20,1,15,0,Dijkstra,1.9291997887194157e-05,1.1328125,0,p=0.1
ER,20,1,15,0,BMSSP,0.00022983300732448697,13.0078125,0,p=0.1
ER,100,1,511,0,Dijkstra,0.00011491699842736125,7.9453125,0,p=0.1
ER,100,1,511,0,BMSSP,0.006846290954854339,150.28125,0,p=0.1
ER,500,1,12562,0,Dijkstra,0.0025475419824942946,81.44921875,0,p=0.1
ER,500,1,12562,0,BMSSP,0.7165343750384636,5270.021484375,0,p=0.1
BA,20,1,36,0,Dijkstra,5.283398786559701e-05,2.2265625,0,m=2
BA,20,1,36,0,BMSSP,0.0031362500158138573,47.34375,0,m=2
BA,100,1,196,0,Dijkstra,0.00018733396427705884,12.5625,0,m=2
BA,100,1,196,0,BMSSP,0.023800583963748068,243.830078125,0,m=2
BA,500,1,996,0,Dijkstra,0.0011064999853260815,52.78515625,0,m=2
BA,500,1,996,0,BMSSP,0.07712962495861575,721.5703125,0,m=2
WS,20,1,40,0,Dijkstra,6.0959020629525185e-05,1.9921875,0,"k=4,p=0.2"
WS,20,1,40,0,BMSSP,0.002680499979760498,44.09375,0,"k=4,p=0.2"
WS,100,1,200,0,Dijkstra,0.0001735830446705222,12.375,0,"k=4,p=0.2"
WS,100,1,200,0,BMSSP,0.01305299997329712,162.931640625,0,"k=4,p=0.2"
WS,500,1,1000,0,Dijkstra,0.000938583048991859,46.41015625,0,"k=4,p=0.2"
WS,500,1,1000,0,BMSSP,0.04332116700243205,409.123046875,0,"k=4,p=0.2"
grid_2d,9,1,12,0,Dijkstra,3.5165983717888594e-05,1.421875,0,"rows=3,cols=3"
grid_2d,9,1,12,0,BMSSP,0.001066708005964756,15.8125,0,"rows=3,cols=3"
grid_2d,100,1,180,0,Dijkstra,0.0001931249862536788,12.40625,0,"rows=10,cols=10"
grid_2d,100,1,180,0,BMSSP,0.009939584007952362,132.05078125,0,"rows=10,cols=10"
grid_2d,400,1,760,0,Dijkstra,0.000815875013358891,47.26171875,0,"rows=20,cols=20"
grid_2d,400,1,760,0,BMSSP,0.028863875020761043,255.962890625,0,"rows=20,cols=20"
grid_3d,8,1,12,0,Dijkstra,3.0166993383318186e-05,1.4609375,0,"x=2,y=2,z=2"
grid_3d,8,1,12,0,BMSSP,0.0008387499838136137,16.2578125,0,"x=2,y=2,z=2"
grid_3d,125,1,300,0,Dijkstra,0.00023145898012444377,12.65625,0,"x=5,y=5,z=5"
grid_3d,125,1,300,0,BMSSP,0.026750874996650964,268.927734375,0,"x=5,y=5,z=5"
grid_3d,1000,1,2700,0,Dijkstra,0.003013917012140155,111.6171875,0,"x=10,y=10,z=10"
grid_3d,1000,1,2700,0,BMSSP,0.1947072499897331,1382.96875,0,"x=10,y=10,z=10"
torus,9,1,18,0,Dijkstra,4.350004019215703e-05,1.3515625,0,"rows=3,cols=3"
torus,9,1,18,0,BMSSP,0.0012920000008307397,23.0390625,0,"rows=3,cols=3"
torus,100,1,200,0,Dijkstra,0.00017737498274073005,12.375,0,"rows=10,cols=10"
torus,100,1,200,0,BMSSP,0.01387970894575119,169.1640625,0,"rows=10,cols=10"
complete,5,1,10,0,Dijkstra,2.420798409730196e-05,1.0234375,0,
complete,5,1,10,0,BMSSP,0.0008771669818088412,15.1484375,0,
complete,10,1,45,0,Dijkstra,3.825000021606684e-05,1.3828125,0,
complete,10,1,45,0,BMSSP,0.0033747089910320938,49.765625,0,
complete,50,1,1225,0,Dijkstra,0.00023499998496845365,6.6640625,0,
complete,50,1,1225,0,BMSSP,0.11123445798875764,772.240234375,0,
