graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,10000,1,9999,0,Dijkstra,0.031197290983982384,885.5654296875,0,
tree,10000,1,9999,0,BMSSP,0.7659237500047311,6307.91796875,0,
tree,100000,1,99999,0,Dijkstra,0.33004616701509804,15543.68359375,0,
tree,100000,1,99999,0,BMSSP,6.125459333998151,60755.18359375,0,
grid_3d,125,1,300,0,Dijkstra,0.0003075840650126338,15.53125,0,"x=5,y=5,z=5"
grid_3d,125,1,300,0,BMSSP,0.028240750078111887,271.076171875,0,"x=5,y=5,z=5"
grid_3d,1000,1,2700,0,Dijkstra,0.0037591669242829084,100.3046875,0,"x=10,y=10,z=10"
grid_3d,1000,1,2700,0,BMSSP,0.20824995799921453,1346.7109375,0,"x=10,y=10,z=10"
torus,100,1,200,0,Dijkstra,0.00018337508663535118,12.375,0,"rows=10,cols=10"
torus,100,1,200,0,BMSSP,0.014058917062357068,170.162109375,0,"rows=10,cols=10"
complete,10,1,45,0,Dijkstra,4.3082982301712036e-05,1.453125,0,
complete,10,1,45,0,BMSSP,0.0034868749789893627,49.671875,0,
complete,50,1,1225,0,Dijkstra,0.0002459579845890403,6.6640625,0,
complete,50,1,1225,0,BMSSP,0.11263758304994553,767.896484375,0,
leafspine,15,1,50,0,Dijkstra,5.949998740106821e-05,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,1,50,0,BMSSP,0.0044009999837726355,64.8046875,0,"n_leaves=10,n_spines=5"
fattree,80,1,640,0,Dijkstra,0.0002466660225763917,7.1640625,0,k=8
fattree,80,1,640,0,BMSSP,0.0546857500448823,432.625,0,k=8
