graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,1000,1,999,0,Dijkstra,0.004002625006251037,109.3037109375,0,
tree,1000,1,999,0,BMSSP,0.08261074998881668,748.384765625,0,
ER,500,1,12562,0,Dijkstra,0.002796208020299673,81.19921875,0,p=0.1
ER,500,1,12562,0,BMSSP,0.8830637499922886,5249.646484375,0,p=0.1
BA,500,1,996,0,Dijkstra,0.001172084012068808,52.78515625,0,m=2
BA,500,1,996,0,BMSSP,0.0940837090020068,714.7578125,0,m=2
WS,500,1,1000,0,Dijkstra,0.0011666249483823776,48.53515625,0,"k=4,p=0.2"
WS,500,1,1000,0,BMSSP,0.04469370801234618,387.974609375,0,"k=4,p=0.2"
grid_2d,100,1,180,0,Dijkstra,0.00019595801131799817,12.546875,0,"rows=10,cols=10"
grid_2d,100,1,180,0,BMSSP,0.010047540999948978,132.48828125,0,"rows=10,cols=10"
grid_2d,400,1,760,0,Dijkstra,0.0008408749708905816,47.63671875,0,"rows=20,cols=20"
grid_2d,400,1,760,0,BMSSP,0.027980875049252063,249.716796875,0,"rows=20,cols=20"
grid_2d,2500,1,4900,0,Dijkstra,0.006916250044014305,188.140625,0,"rows=50,cols=50"
grid_2d,2500,1,4900,0,BMSSP,0.2424439589958638,1370.658203125,0,"rows=50,cols=50"
grid_2d,10000,1,19800,0,Dijkstra,0.039724625006783754,824.91015625,0,"rows=100,cols=100"
grid_2d,10000,1,19800,0,BMSSP,0.5241983750020154,5342.080078125,0,"rows=100,cols=100"
tree,1000,1,999,1,Dijkstra,0.0020415420294739306,91.875,1,
tree,1000,1,999,1,BMSSP,0.06188937497790903,683.369140625,1,
ER,500,1,12414,1,Dijkstra,0.002736082999035716,78.16015625,1,p=0.1
ER,500,1,12414,1,BMSSP,0.8858009579707868,5792.005859375,1,p=0.1
BA,500,1,996,1,Dijkstra,0.0014054999919608235,70.6953125,1,m=2
BA,500,1,996,1,BMSSP,0.07539070799248293,733.015625,1,m=2
WS,500,1,1000,1,Dijkstra,0.0002216249704360962,12.3125,1,"k=4,p=0.2"
