graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
ER,20,1,15,0,Dijkstra,0.0006215000175870955,48.009765625,0,p=0.1
ER,20,1,15,0,BMSSP,0.0002965420135296881,19.8125,0,p=0.1
ER,100,1,511,0,Dijkstra,0.00011837499914690852,7.8828125,0,p=0.1
ER,100,1,511,0,BMSSP,0.007139124965760857,149.8828125,0,p=0.1
ER,500,1,12562,0,Dijkstra,0.002488458005245775,81.44921875,0,p=0.1
ER,500,1,12562,0,BMSSP,0.7545745000243187,5330.349609375,0,p=0.1
BA,20,1,36,0,Dijkstra,5.70000265724957e-05,2.0859375,0,m=2
BA,20,1,36,0,BMSSP,0.0031301669660024345,47.6875,0,m=2
BA,100,1,196,0,Dijkstra,0.00019558396888896823,12.5625,0,m=2
BA,100,1,196,0,BMSSP,0.02421008300734684,245.322265625,0,m=2
BA,500,1,996,0,Dijkstra,0.0011373749584890902,52.78515625,0,m=2
BA,500,1,996,0,BMSSP,0.07536945899482816,725.1640625,0,m=2
WS,20,1,40,0,Dijkstra,5.3916999604552984e-05,1.9921875,0,"k=4,p=0.2"
WS,20,1,40,0,BMSSP,0.0025737080140970647,44.3125,0,"k=4,p=0.2"
WS,100,1,200,0,Dijkstra,0.00017029099399223924,12.375,0,"k=4,p=0.2"
WS,100,1,200,0,BMSSP,0.012959957995917648,163.064453125,0,"k=4,p=0.2"
WS,500,1,1000,0,Dijkstra,0.0009745419956743717,46.41015625,0,"k=4,p=0.2"
WS,500,1,1000,0,BMSSP,0.05304995801998302,420.326171875,0,"k=4,p=0.2"
ER,20,4,15,0,Dijkstra,4.5083987060934305e-05,1.1328125,0,p=0.1
ER,20,4,15,0,BMSSP,0.0009519160958006978,15.421875,0,p=0.1
ER,100,4,511,0,Dijkstra,0.0005925840232521296,7.9453125,0,p=0.1
ER,100,4,511,0,BMSSP,0.07286012504482642,283.107421875,0,p=0.1
ER,500,4,12562,0,Dijkstra,0.010164916981011629,79.38671875,0,p=0.1
ER,500,4,12562,0,BMSSP,3.024274125986267,6075.1796875,0,p=0.1
BA,20,4,36,0,Dijkstra,0.00013812503311783075,2.9140625,0,m=2
BA,20,4,36,0,BMSSP,0.008526335004717112,47.2265625,0,m=2
BA,100,4,196,0,Dijkstra,0.0005561250145547092,15.375,0,m=2
BA,100,4,196,0,BMSSP,0.06781350006349385,273.833984375,0,m=2
BA,500,4,996,0,Dijkstra,0.0034954999573528767,65.53515625,0,m=2
BA,500,4,996,0,BMSSP,0.21562058298150077,721.3125,0,m=2
WS,20,4,40,0,Dijkstra,0.00017520698020234704,2.0234375,0,"k=4,p=0.2"
WS,20,4,40,0,BMSSP,0.009040875011123717,43.9765625,0,"k=4,p=0.2"
WS,100,4,200,0,Dijkstra,0.0006512920372188091,12.375,0,"k=4,p=0.2"
WS,100,4,200,0,BMSSP,0.04811716702533886,163.197265625,0,"k=4,p=0.2"
WS,500,4,1000,0,Dijkstra,0.0037280420656315982,46.41015625,0,"k=4,p=0.2"
WS,500,4,1000,0,BMSSP,0.16423770796973258,428.9609375,0,"k=4,p=0.2"
ER,20,1,23,1,Dijkstra,2.6667024940252304e-05,1.3203125,1,p=0.1
ER,20,1,23,1,BMSSP,0.000848416006192565,21.921875,1,p=0.1
ER,100,1,508,1,Dijkstra,0.0001705419854260981,6.8515625,1,p=0.1
ER,100,1,508,1,BMSSP,0.02440558304078877,252.578125,1,p=0.1
ER,500,1,12414,1,Dijkstra,0.002726542006712407,75.97265625,1,p=0.1
ER,500,1,12414,1,BMSSP,0.8095076669706032,5842.826171875,1,p=0.1
BA,20,1,36,1,Dijkstra,7.033400470390916e-05,3.1015625,1,m=2
BA,20,1,36,1,BMSSP,0.00342625001212582,51.4453125,1,m=2
BA,100,1,196,1,Dijkstra,0.0002418330404907465,15.1875,1,m=2
BA,100,1,196,1,BMSSP,0.022908167040441185,245.158203125,1,m=2
BA,500,1,996,1,Dijkstra,0.0013011249830015004,66.9296875,1,m=2
BA,500,1,996,1,BMSSP,0.07691408297978342,734.6015625,1,m=2
WS,20,1,40,1,Dijkstra,5.337502807378769e-05,2.0234375,1,"k=4,p=0.2"
WS,20,1,40,1,BMSSP,0.003083417017478496,48.4609375,1,"k=4,p=0.2"
WS,100,1,200,1,Dijkstra,0.00017279101302847266,12.28125,1,"k=4,p=0.2"
WS,100,1,200,1,BMSSP,0.012409667018800974,154.96484375,1,"k=4,p=0.2"
WS,500,1,1000,1,Dijkstra,0.0002192499814555049,12.3125,1,"k=4,p=0.2"
WS,500,1,1000,1,BMSSP,0.010870625032112002,208.818359375,1,"k=4,p=0.2"
ER,20,4,23,1,Dijkstra,7.704092422500253e-05,1.9609375,1,p=0.1
ER,20,4,23,1,BMSSP,0.003193999931681901,28.4921875,1,p=0.1
ER,100,4,508,1,Dijkstra,0.0005452930927276611,6.8515625,1,p=0.1
ER,100,4,508,1,BMSSP,0.07273999997414649,273.9140625,1,p=0.1
ER,500,4,12414,1,Dijkstra,0.010407792869955301,74.84765625,1,p=0.1
ER,500,4,12414,1,BMSSP,3.7034275410114788,6147.263671875,1,p=0.1
BA,20,4,36,1,Dijkstra,0.0001602069241926074,3.1015625,1,m=2
BA,20,4,36,1,BMSSP,0.008934583980590105,51.4453125,1,m=2
BA,100,4,196,1,Dijkstra,0.0006700409576296806,15.1875,1,m=2
BA,100,4,196,1,BMSSP,0.06592787493718788,266.974609375,1,m=2
BA,500,4,996,1,Dijkstra,0.003922834002878517,66.9296875,1,m=2
BA,500,4,996,1,BMSSP,0.23592662590090185,733.4609375,1,m=2
WS,20,4,40,1,Dijkstra,0.0001477920450270176,2.0234375,1,"k=4,p=0.2"
WS,20,4,40,1,BMSSP,0.009352334018331021,48.4609375,1,"k=4,p=0.2"
WS,100,4,200,1,Dijkstra,0.0005703339702449739,12.28125,1,"k=4,p=0.2"
WS,100,4,200,1,BMSSP,0.043892291956581175,154.94140625,1,"k=4,p=0.2"
WS,500,4,1000,1,Dijkstra,0.0027651250129565597,46.45703125,1,"k=4,p=0.2"
WS,500,4,1000,1,BMSSP,0.10973187600029632,374.654296875,1,"k=4,p=0.2"
ER,20,1,21,2,Dijkstra,2.0915991626679897e-05,1.0234375,2,p=0.1
ER,20,1,21,2,BMSSP,0.0003422080189920962,14.5546875,2,p=0.1
ER,100,1,484,2,Dijkstra,0.0001757920254021883,6.8515625,2,p=0.1
ER,100,1,484,2,BMSSP,0.026343166013248265,244.5859375,2,p=0.1
ER,500,1,12364,2,Dijkstra,0.0029748340020887554,81.8046875,2,p=0.1
ER,500,1,12364,2,BMSSP,0.8223723329720087,5963.865234375,2,p=0.1
BA,20,1,36,2,Dijkstra,6.595801096409559e-05,3.1015625,2,m=2
BA,20,1,36,2,BMSSP,0.003696041996590793,56.9453125,2,m=2
BA,100,1,196,2,Dijkstra,0.00025441701291128993,15.1875,2,m=2
BA,100,1,196,2,BMSSP,0.023406209016684443,243.65234375,2,m=2
BA,500,1,996,2,Dijkstra,0.0013161670067347586,66.63671875,2,m=2
BA,500,1,996,2,BMSSP,0.0729918330325745,738.7421875,2,m=2
WS,20,1,40,2,Dijkstra,4.950002767145634e-05,2.0234375,2,"k=4,p=0.2"
WS,20,1,40,2,BMSSP,0.0026024580001831055,45.578125,2,"k=4,p=0.2"
WS,100,1,200,2,Dijkstra,0.0001774590346030891,12.3125,2,"k=4,p=0.2"
WS,100,1,200,2,BMSSP,0.013015249976888299,169.51171875,2,"k=4,p=0.2"
WS,500,1,1000,2,Dijkstra,0.0007818330195732415,46.32421875,2,"k=4,p=0.2"
WS,500,1,1000,2,BMSSP,0.03446841600816697,328.185546875,2,"k=4,p=0.2"
ER,20,4,21,2,Dijkstra,5.445798160508275e-05,1.0234375,2,p=0.1
ER,20,4,21,2,BMSSP,0.001352626015432179,18.046875,2,p=0.1
ER,100,4,484,2,Dijkstra,0.0007739580469205976,6.7890625,2,p=0.1
ER,100,4,484,2,BMSSP,0.08980887505458668,288.248046875,2,p=0.1
ER,500,4,12364,2,Dijkstra,0.009988334029912949,81.8671875,2,p=0.1
ER,500,4,12364,2,BMSSP,3.1904321259935386,5970.130859375,2,p=0.1
BA,20,4,36,2,Dijkstra,0.00013466703239828348,3.1015625,2,m=2
BA,20,4,36,2,BMSSP,0.008253749983850867,56.9453125,2,m=2
BA,100,4,196,2,Dijkstra,0.0005405410192906857,15.1875,2,m=2
BA,100,4,196,2,BMSSP,0.06171833205735311,272.091796875,2,m=2
BA,500,4,996,2,Dijkstra,0.0033468740875832736,66.63671875,2,m=2
BA,500,4,996,2,BMSSP,0.19381620903732255,750.375,2,m=2
WS,20,4,40,2,Dijkstra,0.00016037496970966458,2.0234375,2,"k=4,p=0.2"
WS,20,4,40,2,BMSSP,0.009016208117827773,45.578125,2,"k=4,p=0.2"
WS,100,4,200,2,Dijkstra,0.0006327920127660036,12.3125,2,"k=4,p=0.2"
WS,100,4,200,2,BMSSP,0.04955774993868545,159.271484375,2,"k=4,p=0.2"
WS,500,4,1000,2,Dijkstra,0.003031332977116108,46.32421875,2,"k=4,p=0.2"
WS,500,4,1000,2,BMSSP,0.12827499996637926,378.419921875,2,"k=4,p=0.2"
ER,20,1,19,3,Dijkstra,4.087504930794239e-05,1.3203125,3,p=0.1
ER,20,1,19,3,BMSSP,0.00075758300954476,20.078125,3,p=0.1
ER,100,1,487,3,Dijkstra,0.00018204195657745004,6.8515625,3,p=0.1
ER,100,1,487,3,BMSSP,0.02439366700127721,239.0859375,3,p=0.1
ER,500,1,12496,3,Dijkstra,0.002905124973040074,88.39453125,3,p=0.1
ER,500,1,12496,3,BMSSP,0.8809834999847226,5935.3828125,3,p=0.1
BA,20,1,36,3,Dijkstra,5.270796827971935e-05,2.0546875,3,m=2
BA,20,1,36,3,BMSSP,0.003200958017259836,49.640625,3,m=2
BA,100,1,196,3,Dijkstra,0.0001818749587982893,12.4375,3,m=2
BA,100,1,196,3,BMSSP,0.023188791004940867,236.37109375,3,m=2
BA,500,1,996,3,Dijkstra,0.0010791670065373182,52.15625,3,m=2
BA,500,1,996,3,BMSSP,0.07103408401599154,753.703125,3,m=2
WS,20,1,40,3,Dijkstra,5.2916991990059614e-05,2.0234375,3,"k=4,p=0.2"
WS,20,1,40,3,BMSSP,0.003079958027228713,48.515625,3,"k=4,p=0.2"
