graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,10,1,9,0,Dijkstra,0.0006165420054458082,46.908203125,0,
tree,10,1,9,0,BMSSP,0.001254499948117882,28.0,0,
tree,100,1,99,0,Dijkstra,0.0002026669681072235,12.921875,0,
tree,100,1,99,0,BMSSP,0.010142000042833388,155.662109375,0,
ER,20,1,15,0,Dijkstra,1.4999997802078724e-05,0.9921875,0,p=0.1
ER,20,1,15,0,BMSSP,0.0002227500081062317,13.4140625,0,p=0.1
BA,20,1,36,0,Dijkstra,5.8542005717754364e-05,2.3359375,0,m=2
BA,20,1,36,0,BMSSP,0.0032980000250972807,46.5234375,0,m=2
WS,20,1,40,0,Dijkstra,6.516696885228157e-05,1.9921875,0,"k=4,p=0.2"
WS,20,1,40,0,BMSSP,0.002860583015717566,44.546875,0,"k=4,p=0.2"
grid_2d,9,1,12,0,Dijkstra,3.125000512227416e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,1,12,0,BMSSP,0.0010038749896921217,16.1171875,0,"rows=3,cols=3"
grid_2d,100,1,180,0,Dijkstra,0.00019225000869482756,12.78125,0,"rows=10,cols=10"
grid_2d,100,1,180,0,BMSSP,0.010082833003252745,89.50390625,0,"rows=10,cols=10"
grid_3d,8,1,12,0,Dijkstra,2.745899837464094e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,1,12,0,BMSSP,0.0008679999737069011,16.6171875,0,"x=2,y=2,z=2"
torus,9,1,18,0,Dijkstra,3.100000321865082e-05,1.3515625,0,"rows=3,cols=3"
torus,9,1,18,0,BMSSP,0.0014542079879902303,24.25,0,"rows=3,cols=3"
complete,5,1,10,0,Dijkstra,5.529198097065091e-05,1.0234375,0,
complete,5,1,10,0,BMSSP,0.0009291250025853515,15.9453125,0,
leafspine,5,1,6,0,Dijkstra,2.2916996385902166e-05,1.0234375,0,"n_leaves=3,n_spines=2"
leafspine,5,1,6,0,BMSSP,0.0006810839986428618,17.3046875,0,"n_leaves=3,n_spines=2"
fattree,20,1,48,0,Dijkstra,5.5958982557058334e-05,2.1484375,0,k=4
fattree,20,1,48,0,BMSSP,0.004101291997358203,53.7578125,0,k=4
tree,10,2,9,0,Dijkstra,3.929197555407882e-05,1.3203125,0,
tree,10,2,9,0,BMSSP,0.0010115419863723218,17.5703125,0,
tree,100,2,99,0,Dijkstra,0.00019520905334502459,12.546875,0,
tree,100,2,99,0,BMSSP,0.0098560830228962,99.146484375,0,
ER,20,2,15,0,Dijkstra,2.4582957848906517e-05,0.9921875,0,p=0.1
ER,20,2,15,0,BMSSP,0.0004467919934540987,13.375,0,p=0.1
BA,20,2,36,0,Dijkstra,5.741603672504425e-05,2.0859375,0,m=2
BA,20,2,36,0,BMSSP,0.0033449999755248427,47.359375,0,m=2
WS,20,2,40,0,Dijkstra,9.404198499396443e-05,2.0234375,0,"k=4,p=0.2"
WS,20,2,40,0,BMSSP,0.004838583990931511,44.453125,0,"k=4,p=0.2"
grid_2d,9,2,12,0,Dijkstra,4.7833018470555544e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,2,12,0,BMSSP,0.001476749952416867,15.5078125,0,"rows=3,cols=3"
grid_2d,100,2,180,0,Dijkstra,0.00034650106681510806,12.40625,0,"rows=10,cols=10"
grid_2d,100,2,180,0,BMSSP,0.019663624989334494,131.88671875,0,"rows=10,cols=10"
grid_3d,8,2,12,0,Dijkstra,4.1499966755509377e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,2,12,0,BMSSP,0.0010699169943109155,16.1953125,0,"x=2,y=2,z=2"
torus,9,2,18,0,Dijkstra,4.5874970965087414e-05,1.3515625,0,"rows=3,cols=3"
torus,9,2,18,0,BMSSP,0.0018461669096723199,23.3828125,0,"rows=3,cols=3"
complete,5,2,10,0,Dijkstra,3.433407982811332e-05,1.0234375,0,
complete,5,2,10,0,BMSSP,0.0012294170446693897,15.734375,0,
