graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,10000,1,9999,0,Dijkstra,0.030869459034875035,885.5654296875,0,
tree,10000,1,9999,0,BMSSP,0.703258832974825,6307.91796875,0,
tree,100000,1,99999,0,Dijkstra,0.3163279999862425,15543.68359375,0,
tree,100000,1,99999,0,BMSSP,5.771051458956208,60755.18359375,0,
grid_3d,125,1,300,0,Dijkstra,0.000315624987706542,15.53125,0,"x=5,y=5,z=5"
grid_3d,125,1,300,0,BMSSP,0.02861629199469462,271.076171875,0,"x=5,y=5,z=5"
grid_3d,1000,1,2700,0,Dijkstra,0.006157541996799409,100.3046875,0,"x=10,y=10,z=10"
grid_3d,1000,1,2700,0,BMSSP,0.20244058303069323,1346.7109375,0,"x=10,y=10,z=10"
torus,100,1,200,0,Dijkstra,0.0001770000089891255,12.375,0,"rows=10,cols=10"
torus,100,1,200,0,BMSSP,0.01431283401325345,170.162109375,0,"rows=10,cols=10"
complete,10,1,45,0,Dijkstra,4.8457994125783443e-05,1.453125,0,
complete,10,1,45,0,BMSSP,0.003625041979830712,49.671875,0,
complete,50,1,1225,0,Dijkstra,0.00025458302116021514,6.6640625,0,
complete,50,1,1225,0,BMSSP,0.1104857079917565,767.896484375,0,
leafspine,15,1,50,0,Dijkstra,5.983299342915416e-05,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,1,50,0,BMSSP,0.004261958005372435,64.8046875,0,"n_leaves=10,n_spines=5"
fattree,80,1,640,0,Dijkstra,0.00040687498403713107,7.1640625,0,k=8
fattree,80,1,640,0,BMSSP,0.051865165994968265,432.625,0,k=8
tree,10000,8,9999,0,Dijkstra,0.07825191592564806,876.1953125,0,
tree,10000,8,9999,0,BMSSP,2.083165001065936,6401.19140625,0,
tree,100000,8,99999,0,Dijkstra,1.179346042976249,15543.68359375,0,
tree,100000,8,99999,0,BMSSP,22.871549207891803,60770.35546875,0,
grid_3d,125,8,300,0,Dijkstra,0.0011473321355879307,15.671875,0,"x=5,y=5,z=5"
grid_3d,125,8,300,0,BMSSP,0.11549245892092586,275.58203125,0,"x=5,y=5,z=5"
grid_3d,1000,8,2700,0,Dijkstra,0.013131832994986326,111.6171875,0,"x=10,y=10,z=10"
grid_3d,1000,8,2700,0,BMSSP,0.9722088740672916,1364.3203125,0,"x=10,y=10,z=10"
torus,100,8,200,0,Dijkstra,0.0009353330824524164,12.375,0,"rows=10,cols=10"
torus,100,8,200,0,BMSSP,0.060497375088743865,172.388671875,0,"rows=10,cols=10"
complete,10,8,45,0,Dijkstra,0.00015429005725309253,1.3828125,0,
complete,10,8,45,0,BMSSP,0.012345915951300412,49.6484375,0,
complete,50,8,1225,0,Dijkstra,0.0015655839233659208,6.6640625,0,
complete,50,8,1225,0,BMSSP,0.7985688329790719,744.333984375,0,
leafspine,15,8,50,0,Dijkstra,0.000184999022167176,2.984375,0,"n_leaves=10,n_spines=5"
leafspine,15,8,50,0,BMSSP,0.011708250036463141,64.578125,0,"n_leaves=10,n_spines=5"
fattree,80,8,640,0,Dijkstra,0.001558205985929817,11.8515625,0,k=8
fattree,80,8,640,0,BMSSP,0.39097516605397686,455.638671875,0,k=8
tree,10000,16,9999,0,Dijkstra,0.10693854314740747,876.26171875,0,
tree,10000,16,9999,0,BMSSP,2.800598919042386,6389.62109375,0,
tree,100000,16,99999,0,Dijkstra,1.4836324600619264,15543.68359375,0,
tree,100000,16,99999,0,BMSSP,28.91109837614931,60718.23828125,0,
grid_3d,125,16,300,0,Dijkstra,0.0017723319469951093,15.671875,0,"x=5,y=5,z=5"
grid_3d,125,16,300,0,BMSSP,0.17798512597801164,274.62890625,0,"x=5,y=5,z=5"
grid_3d,1000,16,2700,0,Dijkstra,0.02380958409048617,111.6171875,0,"x=10,y=10,z=10"
grid_3d,1000,16,2700,0,BMSSP,1.8421659579034895,1359.59375,0,"x=10,y=10,z=10"
torus,100,16,200,0,Dijkstra,0.001653748913668096,13.453125,0,"rows=10,cols=10"
torus,100,16,200,0,BMSSP,0.10361575009301305,176.876953125,0,"rows=10,cols=10"
complete,10,10,45,0,Dijkstra,0.00017216597916558385,1.3828125,0,
complete,10,10,45,0,BMSSP,0.013112540997099131,49.375,0,
complete,50,16,1225,0,Dijkstra,0.002837585925590247,11.1015625,0,
complete,50,16,1225,0,BMSSP,1.2154783761361614,752.294921875,0,
leafspine,15,15,50,0,Dijkstra,0.0002198758302256465,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,15,50,0,BMSSP,0.013156582077499479,64.578125,0,"n_leaves=10,n_spines=5"
fattree,80,16,640,0,Dijkstra,0.0022735821548849344,7.1640625,0,k=8
fattree,80,16,640,0,BMSSP,0.4708840412204154,470.810546875,0,k=8
tree,10000,1,9999,1,Dijkstra,0.029772625013720244,878.19921875,1,
tree,10000,1,9999,1,BMSSP,0.6823045830242336,6289.12109375,1,
tree,100000,1,99999,1,Dijkstra,0.32128454197663814,15487.390625,1,
tree,100000,1,99999,1,BMSSP,5.761967917031143,60408.11328125,1,
grid_3d,125,1,300,1,Dijkstra,0.0003036250127479434,15.359375,1,"x=5,y=5,z=5"
grid_3d,125,1,300,1,BMSSP,0.027698167017661035,276.03515625,1,"x=5,y=5,z=5"
grid_3d,1000,1,2700,1,Dijkstra,0.003080375026911497,112.33984375,1,"x=10,y=10,z=10"
grid_3d,1000,1,2700,1,BMSSP,0.19552700000349432,1394.1171875,1,"x=10,y=10,z=10"
torus,100,1,200,1,Dijkstra,0.00018241599900647998,12.40625,1,"rows=10,cols=10"
torus,100,1,200,1,BMSSP,0.013386292033828795,165.853515625,1,"rows=10,cols=10"
complete,10,1,45,1,Dijkstra,3.6959012504667044e-05,1.4140625,1,
complete,10,1,45,1,BMSSP,0.0032516660285182297,50.390625,1,
complete,50,1,1225,1,Dijkstra,0.0002307079848833382,6.3828125,1,
complete,50,1,1225,1,BMSSP,0.10671295801876113,738.263671875,1,
leafspine,15,1,50,1,Dijkstra,4.454201553016901e-05,2.0859375,1,"n_leaves=10,n_spines=5"
