graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
wiki-vote,7115,1,100762,0,Dijkstra,0.09235570795135573,1183.615234375,0,dataset=wiki-vote
wiki-vote,7115,1,100762,0,BMSSP,11.335745833988767,100334.857421875,0,dataset=wiki-vote
wiki-vote,7115,8,100762,0,Dijkstra,0.7329695410444401,1172.9140625,0,dataset=wiki-vote
wiki-vote,7115,8,100762,0,BMSSP,89.73073741589906,102728.951171875,0,dataset=wiki-vote
wiki-vote,7115,16,100762,0,Dijkstra,1.4442789137829095,1172.9140625,0,dataset=wiki-vote
wiki-vote,7115,16,100762,0,BMSSP,180.92192450119182,102641.521484375,0,dataset=wiki-vote
wiki-vote,7115,1,100762,1,Dijkstra,0.10247008298756555,1172.9140625,1,dataset=wiki-vote
wiki-vote,7115,1,100762,1,BMSSP,13.042996332980692,100327.021484375,1,dataset=wiki-vote
wiki-vote,7115,8,100762,1,Dijkstra,0.7371857900288887,1172.9140625,1,dataset=wiki-vote
wiki-vote,7115,8,100762,1,BMSSP,89.45153337396914,102716.263671875,1,dataset=wiki-vote
wiki-vote,7115,16,100762,1,Dijkstra,1.4365783359971829,1172.9140625,1,dataset=wiki-vote
wiki-vote,7115,16,100762,1,BMSSP,182.07641312701162,102641.435546875,1,dataset=wiki-vote
wiki-vote,7115,1,100762,2,Dijkstra,0.09262158302590251,1172.9140625,2,dataset=wiki-vote
wiki-vote,7115,1,100762,2,BMSSP,11.048012209008448,100327.021484375,2,dataset=wiki-vote
wiki-vote,7115,8,100762,2,Dijkstra,0.7198822509963065,1172.9140625,2,dataset=wiki-vote
wiki-vote,7115,8,100762,2,BMSSP,90.9286345000146,102716.263671875,2,dataset=wiki-vote
wiki-vote,7115,16,100762,2,Dijkstra,1.5084802050841972,1172.9140625,2,dataset=wiki-vote
wiki-vote,7115,16,100762,2,BMSSP,180.14142703899415,102641.435546875,2,dataset=wiki-vote
